team,role,player
MI,WK,Ryan Rickleton
MI,BAT,Rohit Sharma
MI,BAT,Tilak Verma
MI,BAT,Suryakumar Yadav
MI,BAT,Naman Dhir
MI,ALL,Will Jacks
MI,ALL,Hardik Pandya
MI,ALL,Mitch Santner
MI,BOWL,Deepak Chahar
MI,BOWL,Trent Boult
MI,BOWL,Jasprit Bumrah
MI,BOWL,Vignesh Puthur
MI,BOWL,Ashwini Kumar
RCB,WK,Phil Salt
RCB,WK,Jitesh Sharma
RCB,BAT,Virat Kohli
RCB,BAT,Rajat Patidar
RCB,BAT,Tim David
RCB,BAT,Devdatta Padikkal
RCB,ALL,Liam Livingstone
RCB,ALL,Romario Shepherd
RCB,ALL,Krunal Pandya
RCB,BOWL,Bhuvneshwar Kumar
RCB,BOWL,Yash Dayal
RCB,BOWL,Josh Hazlewood
RCB,BOWL,Suyash Sharma
CSK,WK,Devon Conway
CSK,WK,MS Dhoni
CSK,BAT,Ayush Mhatre
CSK,BAT,Rachin Ravindra
CSK,BAT,Rahul Tripathi
CSK,BAT,Shaik Rasheed
CSK,ALL,Shivam Dube
CSK,ALL,Ravindra Jadeja
CSK,ALL,Ravi Ashwin
CSK,BOWL,Noor Ahmad
CSK,BOWL,Khaleel Ahmed
CSK,BOWL,Matheesh Pathirana
CSK,BOWL,Anshul Kamboj
DEL,WK,Abhishek Porel
DEL,WK,KL Rahul
DEL,BAT,Karun Nair
DEL,BAT,Jake Fraser McGurk
DEL,BAT,Faf du Plessis
DEL,BAT,Tristan Stubbs
DEL,BAT,Ashutosh Sharma
DEL,ALL,Vipraj Nigam
DEL,ALL,D Ferreira
DEL,ALL,Axar Patel
DEL,BOWL,Mitchell Starc
DEL,BOWL,Kuldeep Yadav
DEL,BOWL,T Natarajan
DEL,BOWL,Mukesh Kumar
DEL,BOWL,Mohit Sharma
LKN,WK,Rishabh Pant
LKN,WK,Nicholas Pooran
LKN,BAT,Mitchell Marsh
LKN,BAT,Abdul Samad
LKN,BAT,Ayush Badoni
LKN,BAT,David Miller
LKN,ALL,Prince Yadav
LKN,ALL,Aiden Markram
LKN,ALL,Shahbaz Ahamad
LKN,ALL,Shardul Thakur
LKN,BOWL,Akash Deep
LKN,BOWL,Ravi Bishnoi
LKN,BOWL,Avesh Khan
LKN,BOWL,Digvesh Singh
LKN,BOWL,Mayank Yadav
SRH,WK,Heinrich Klaasen
SRH,WK,Ishan Kishan
SRH,BAT,Travis Head
SRH,BAT,Aniket Verma
SRH,BAT,Abhinav Manohar
SRH,ALL,Abhishek Sharma
SRH,ALL,Nitish Kumar Reddy
SRH,ALL,Pat Cummins
SRH,BOWL,Harshal Patel
SRH,BOWL,Mohd. Shami
SRH,BOWL,Z Ansari
SRH,BOWL,Eshan Malinga
SRH,BOWL,Rahul Chahar
SRH,BOWL,Jaydev Undadkat
RAJ,WK,Sanju Samson
RAJ,WK,Dhruv Jurel
RAJ,BAT,V Suryavanshi
RAJ,BAT,Yashaswi Jaiswal
RAJ,BAT,Shubham Dubey
RAJ,BAT,Shimron Hetmyer
RAJ,ALL,Nitish Rana
RAJ,ALL,Riyan Parag
RAJ,ALL,Wanindu Hasaranga
RAJ,BOWL,Maheesh Theekshana
RAJ,BOWL,F Farooqi
RAJ,BOWL,Jofra Archer
RAJ,BOWL,Sandeep Sharma
RAJ,BOWL,Tushar Deshpande
RAJ,BOWL,Akash Madhwal
KKR,WK,Q de Kock
KKR,WK,R Gurbaz
KKR,BAT,Ajinkya Rahane
KKR,BAT,Rinku Singh
KKR,BAT,Venkatesh Iyer
KKR,BAT,Agrkrish Raghuvanshi
KKR,ALL,Sunil Narine
KKR,ALL,Andre Russell
KKR,ALL,Ramandeep Singh
KKR,ALL,Moeen Ali
KKR,BOWL,Harshit Rana
KKR,BOWL,Varun Chakaravarthy
KKR,BOWL,Vaibhav Arora
KKR,BOWL,Anrich Nortje
PBKS,WK,Josh Inglis
PBKS,WK,Prabhsimran Singh
PBKS,BAT,Shreyas Iyer
PBKS,BAT,Priyansh Arya
PBKS,BAT,Nehal Wadhera
PBKS,BAT,Shashank Singh
PBKS,ALL,Glenn Maxwell
PBKS,ALL,Marcus Stoinis
PBKS,ALL,Marco Jansen
PBKS,BOWL,Arshdeep Singh
PBKS,BOWL,Yuzvendra Chahal
PBKS,BOWL,Harpreet Brar
PBKS,BOWL,X Bartlett
PBKS,BOWL,Vijaykumar Vysakh